#G(0/1) F(m/min)      X(m)        Y(m)        Z(m)       E(mm)     Rx        Ry          Rz   segment_num 
1 0.02 0.005958 0.008670 0.003273 2.275081 3.143818 -0.381751 0.000000 2
1 0.02 0.005913 0.008674 0.003369 2.281289 3.143769 -0.376935 0.000000 2
1 0.02 0.005866 0.008632 0.003464 2.287942 3.143720 -0.371961 0.000000 2
1 0.02 0.005817 0.008548 0.003558 2.295813 3.143668 -0.366831 0.000000 2
1 0.02 0.005767 0.008430 0.003651 2.305061 3.143616 -0.361550 0.000000 2
1 0.02 0.005716 0.008286 0.003742 2.315457 3.143561 -0.356120 0.000000 2
1 0.02 0.005663 0.008127 0.003832 2.326571 3.143506 -0.350548 0.000000 2
1 0.02 0.005608 0.007963 0.003921 2.337889 3.143449 -0.344839 0.000000 2
1 0.02 0.005553 0.007805 0.004008 2.348894 3.143390 -0.338999 0.000000 2
1 0.02 0.005496 0.007664 0.004094 2.359122 3.143330 -0.333034 0.000000 2
1 0.02 0.005438 0.007546 0.004179 2.368232 3.143270 -0.326953 0.000000 2
1 0.02 0.005379 0.007459 0.004262 2.376065 3.143208 -0.320763 0.000000 2
1 0.02 0.005319 0.007407 0.004344 2.382738 3.143145 -0.314473 0.000000 2
1 0.02 0.005258 0.007391 0.004425 2.388711 3.143081 -0.308092 0.000000 2
1 0.02 0.005196 0.007410 0.004504 2.394696 3.143016 -0.301631 0.000000 2
1 0.02 0.005133 0.007463 0.004582 2.401307 3.142951 -0.295100 0.000000 2
1 0.02 0.005069 0.007544 0.004658 2.408813 3.142885 -0.288509 0.000000 2
1 0.02 0.005003 0.007647 0.004733 2.417172 3.142819 -0.281871 0.000000 2
1 0.02 0.004937 0.007765 0.004807 2.426148 3.142752 -0.275196 0.000000 2
1 0.02 0.004869 0.007889 0.004879 2.435409 3.142685 -0.268497 0.000000 2
1 0.02 0.004799 0.008011 0.004949 2.444594 3.142618 -0.261786 0.000000 2
1 0.02 0.004728 0.008124 0.005019 2.453370 3.142551 -0.255075 0.000000 2
