#G(0/1) F(m/min)      X(m)        Y(m)        Z(m)       E(mm)     Rx        Ry          Rz       seg#
1 0.050021698970337446 0.005033945715533781 0.007434553048021299 3.5216180108745344e-05 0.38661225 2.94786065 0.0 0.0 0
1 0.05002144228857978 0.005033944117133014 0.007534595932561746 3.521399138280082e-05 0.39183673 2.94524265 0.0 0.0 0
1 0.050021640730370784 0.005033946305531465 0.007634639213872895 3.52190056216168e-05 0.39706122 2.94262465 0.0 0.0 0
1 0.05002210007097075 0.005033949776295748 0.007734683413569913 3.522777932398008e-05 0.40228571 2.94000665 0.0 0.0 0
1 0.05002263077260291 0.005033953526537168 0.007834728674481156 3.523839937549561e-05 0.4075102 2.93738865 0.0 0.0 0
1 0.05002322423268191 0.005033957175798068 0.007934775122232224 3.5249783951465905e-05 0.41273469 2.93477065 0.0 0.0 0
1 0.05002393881422607 0.005033960607351212 0.008034822999130926 3.526137033341724e-05 0.41795918 2.93215265 0.0 0.0 0
1 0.05002486469937057 0.005033963817023041 0.008134872727813542 3.527290264530617e-05 0.42318367 2.92953465 0.0 0.0 0
1 0.05002609547043006 0.005033966833586501 0.008234924918061772 3.528428240206882e-05 0.42840816 2.92691665 0.0 0.0 0
1 0.050027660466292846 0.00503396969305271 0.008334980238326005 3.529548810269617e-05 0.43363265 2.92429865 0.0 0.0 0
